,mode,count,acousticness,artists,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key
9,1,15,0.5444666666666668,$NOT,0.7898,137910.46666666667,0.5329333333333333,0.023062583333333327,0.1803,-9.14926666666667,0.29368666666666665,112.34479999999998,0.4807,67.53333333333333,1
10,1,2,0.239,$atori Zoom,0.883,141519.0,0.625,0.0,0.0765,-4.098,0.245,126.677,0.871,67.0,6
18,1,2,0.847,((( O ))),0.41,311837.0,0.16899999999999998,0.0032700000000000003,0.117,-11.422,0.0485,89.494,0.208,67.0,3
20,0,4,0.011235,(G)I-DLE,0.6405,196969.0,0.8,0.0,0.252,-4.4735,0.04875,151.01325,0.3750000000000001,79.25,1
31,1,4,0.15844999999999995,100 gecs,0.61925,126605.25,0.59575,0.0,0.37175,-6.588000000000001,0.2125,114.87475,0.78125,68.0,6
62,1,89,0.13172491011235954,21 Savage,0.7817640449438202,215299.4606741573,0.5532022471910112,0.03678730359550562,0.17399550561797755,-7.367921348314602,0.28404269662921344,125.43782022471912,0.3382112359550562,67.01123595505618,1
65,1,2,0.281,22Gz,0.83,190746.0,0.574,0.0,0.124,-6.892,0.701,143.892,0.5379999999999999,70.0,11
67,1,4,0.0598,24hrs,0.5405,197806.5,0.74,0.0,0.12435,-5.4345,0.18005,117.9925,0.34,66.5,1
68,0,19,0.1445252631578947,24kGoldn,0.7429473684210526,162868.05263157893,0.6556842105263158,0.008539195789473686,0.14667368421052632,-5.020052631578949,0.11274736842105265,120.76063157894735,0.5452526315789473,74.26315789473685,0
69,1,2,0.428,27CLUB,0.514,155893.0,0.7120000000000001,8.77e-06,0.112,-7.2810000000000015,0.334,76.393,0.487,68.0,2
72,1,4,0.2912,2KBABY,0.6224999999999999,147745.0,0.418,0.0,0.203,-9.2685,0.479,103.163,0.402,69.5,11
77,0,1,0.1,2WEI,0.14,204587.0,0.478,0.000112,0.105,-10.145,0.0484,185.121,0.0412,75.0,1
87,0,2,0.6709999999999999,347aidan,0.98,180139.0,0.413,7.950000000000001e-05,0.17,-11.052,0.101,119.993,0.764,77.0,8
105,0,9,0.19697777777777767,42 Dugg,0.8468888888888891,175771.0,0.5665555555555556,0.0,0.15146666666666664,-6.050555555555555,0.34088888888888885,126.25266666666666,0.3396666666666667,69.22222222222223,1
118,1,2,0.224,6 Dogs,0.748,171907.0,0.66,0.053,0.101,-4.704,0.0487,137.033,0.328,66.0,6
122,1,26,0.11218461538461537,6ix9ine,0.7337307692307694,156294.84615384616,0.697923076923077,4.606538461538462e-06,0.1443307692307692,-5.13403846153846,0.2407615384615385,123.0933846153846,0.4553846153846154,69.30769230769229,1
132,0,2,0.0166,88GLAM,0.764,180813.0,0.672,1.06e-06,0.103,-4.274,0.0655,150.02100000000004,0.594,68.0,6
133,1,6,0.5274666666666666,88rising,0.585,209444.66666666663,0.4631666666666667,4.603499999999999e-05,0.21815,-9.008666666666667,0.09198333333333336,109.58783333333334,0.3853333333333333,69.83333333333333,1
138,0,2,0.952,90sFlav,0.748,126250.0,0.265,0.917,0.0866,-12.074000000000002,0.229,77.009,0.14,70.0,8
139,0,2,0.637,916frosty,0.597,248803.0,0.5589999999999999,0.0,0.13699999999999998,-7.2189999999999985,0.0835,145.826,0.268,66.0,1
140,1,1,0.139,93FEETOFSMOKE,0.816,148140.0,0.5770000000000001,0.0,0.0827,-5.9979999999999976,0.41,171.028,0.459,66.0,1
146,0,6,0.033133333333333334,9lokknine,0.8643333333333335,181220.0,0.5439999999999999,0.0,0.17459999999999998,-8.401333333333335,0.2726666666666666,90.15666666666664,0.521,67.66666666666667,0
147,1,2,0.404,9tails,0.711,217182.0,0.545,0.0,0.122,-6.81,0.0322,108.02,0.345,66.0,11
151,0,75,0.25338639999999985,A Boogie Wit da Hoodie,0.7300933333333334,200451.88,0.6268400000000001,1.6157333333333332e-06,0.16490266666666673,-7.011053333333331,0.22984666666666664,118.7338666666667,0.5007333333333335,66.64,5
166,1,6,0.1363,A R I Z O N A,0.6759999999999999,182859.66666666663,0.6126666666666666,0.11673333333333336,0.1313,-8.663333333333334,0.06033333333333332,101.286,0.228,66.33333333333333,2
213,0,3,0.16663333333333333,A7S,0.7426666666666667,168293.0,0.726,0.0,0.15466666666666667,-5.921333333333332,0.198,121.29633333333334,0.5546666666666668,87.0,8
222,0,2,0.941,AIIVAWN,0.525,240628.0,0.185,0.0162,0.35600000000000004,-14.938,0.0427,122.214,0.0393,67.0,11
226,1,8,0.3816999999999999,AJ Mitchell,0.604,189474.5,0.526875,2.525e-07,0.0766,-5.9902500000000005,0.036775,111.603375,0.331125,72.375,5
233,1,2,0.0109,ALISA UENO,0.6990000000000001,184880.0,0.7,0.0794,0.152,-5.704,0.0392,102.023,0.3,65.0,11
245,0,2,0.0503,ATEEZ,0.5720000000000001,199013.0,0.964,0.0,0.3720000000000001,-1.949,0.123,129.97899999999998,0.519,68.0,4
246,0,2,0.294,ATR Son Son,0.904,167184.0,0.252,0.0,0.104,-17.54,0.11,117.994,0.227,79.0,5
248,1,2,0.359,AUGUST 08,0.409,280842.0,0.6779999999999999,4.76e-06,0.16699999999999998,-7.731,0.0878,89.96799999999998,0.168,73.0,9
264,0,1,0.758,Aaron Krause,0.325,223893.0,0.201,0.0,0.0977,-11.595,0.0282,81.869,0.172,67.0,6
270,0,4,0.2055,Aaron May,0.7735,183568.5,0.4975000000000001,1.815e-05,0.133,-8.2015,0.18265,141.0915,0.5765,65.0,10
274,0,2,0.0726,Aaron Smith,0.7354999999999999,227026.5,0.7340000000000001,0.016657050000000003,0.1945,-8.158999999999999,0.02955,119.9395,0.3185,77.0,10
287,1,2,0.172,Abby Anderson,0.62,163960.0,0.8170000000000001,0.0,0.14400000000000002,-5.317,0.0254,99.963,0.614,66.0,11
313,0,2,0.23,Absofacto,0.688,224661.0,0.5820000000000001,0.000157,0.0663,-10.668,0.0542,85.486,0.872,72.0,6
357,0,2,0.35600000000000004,Adam Jensen,0.557,189600.0,0.721,0.0,0.146,-5.134,0.0416,125.324,0.392,65.0,4
361,1,2,0.953,Adam Melchor,0.493,216000.0,0.284,0.007390000000000002,0.151,-12.815,0.0309,79.959,0.199,65.0,2
407,1,2,0.894,Adriana Proenza,0.522,187932.0,0.128,0.026,0.0941,-18.717,0.0357,109.986,0.124,83.0,4
414,0,3,0.385,Adriel Favela,0.7929999999999999,186650.66666666663,0.7439999999999999,3.933333333333333e-07,0.13716666666666666,-5.986666666666667,0.038700000000000005,107.66633333333334,0.892,68.33333333333333,7
434,1,2,0.0206,Afro B,0.966,199000.0,0.633,4.06e-06,0.0715,-6.392,0.101,108.011,0.767,65.0,2
448,0,3,0.05990666666666665,Against The Current,0.4666666666666666,212391.0,0.6686666666666667,0.0,0.242,-5.769666666666668,0.08813333333333333,145.02466666666666,0.15153333333333333,77.0,4
450,0,1,0.85,Agatha Lee Monn,0.306,206507.0,0.121,0.000176,0.257,-15.550999999999998,0.0554,174.053,0.166,70.0,0
469,1,6,0.009499666666666668,Agust D,0.5786666666666668,219421.83333333328,0.7933333333333333,6.3e-06,0.16466666666666666,-4.3580000000000005,0.12346666666666667,114.8205,0.3088333333333333,67.16666666666667,8
